2025-08-03 10:58:14,186 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T06:51:13.517914+00:00
2025-08-03 10:58:14,186 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 10:58:14,896 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 10:58:14,903 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:05:04,678 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:05:04 ---


2025-08-03 11:05:04,764 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:05:04,843 | INFO     | __main__ | Application démarrée
2025-08-03 11:05:05,100 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:05:05,103 | INFO     | __main__ | Chargement cache local : 0.26 sec
2025-08-03 11:05:05,803 | INFO     | __main__ | Initialisation UI : 0.69 sec
2025-08-03 11:05:05,816 | INFO     | __main__ | Temps total d'ouverture : 1.05 sec
2025-08-03 11:05:06,791 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:05:06,975 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:05:09,215 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:05:09,216 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T06:58:14.904072+00:00
2025-08-03 11:05:09,216 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:05:10,888 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 11:05:10,891 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 11:05:31,687 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:05:31 ---


2025-08-03 11:05:31,753 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:05:31,827 | INFO     | __main__ | Application démarrée
2025-08-03 11:05:32,065 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:05:32,066 | INFO     | __main__ | Chargement cache local : 0.24 sec
2025-08-03 11:05:32,698 | INFO     | __main__ | Initialisation UI : 0.62 sec
2025-08-03 11:05:32,711 | INFO     | __main__ | Temps total d'ouverture : 0.96 sec
2025-08-03 11:05:33,253 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 11:05:33,438 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:05:34,616 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 11:05:34,617 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T07:05:10.891098+00:00
2025-08-03 11:05:34,617 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 11:05:52,905 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 11:05:52 ---


2025-08-03 11:05:52,969 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 11:05:53,043 | INFO     | __main__ | Application démarrée
2025-08-03 11:05:53,265 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 11:05:53,267 | INFO     | __main__ | Chargement cache local : 0.22 sec
